chr	start	end	strand	itr_id	gene	product	protein_id
NC_000913.3	657555	657938	-	621	ybeM	fluoride efflux channel, dual topology membrane protein	ref|NP_415157.1|
NC_000913.3	658031	658225	+	622	tatE	NA	NA
NC_000913.3	658947	659150	+	623	lipA	TatABCE protein translocation system subunit	ref|NP_415160.1|
NC_000913.3	659251	660216	-	624	ybeF	lipoate synthase	ref|NP_415161.1|
NC_000913.3	660425	661378	-	625	lipB	LysR family putative transcriptional regulator	ref|NP_415162.4|
NC_000913.3	661637	662278	-	626	ybeD	octanoyltransferase; octanoyl-[ACP]:protein N-octanoyltransferase	ref|NP_415163.2|
NC_000913.3	662379	662642	-	627	dacA	UPF0250 family protein	ref|NP_415164.1|
NC_000913.3	662752	663963	-	628	rlpA	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)	ref|NP_415165.1|
NC_000913.3	664102	665190	-	629	mrdB	septal ring protein, suppressor of prc, minor lipoprotein	ref|NP_415166.1|
NC_000913.3	665201	666313	-	630	mrdA	cell wall shape-determining protein	ref|NP_415167.1|
NC_000913.3	666316	668217	-	631	rlmH	penicillin-binding protein 2, transpeptidase involved in peptidoglycan synthesis	ref|NP_415168.1|
NC_000913.3	668248	668715	-	632	rsfS	23S rRNA m(3)Psi1915 pseudouridine methyltransferase, SAM-dependent	ref|NP_415169.1|
NC_000913.3	668719	669036	-	633	cobC	ribosomal silencing factor	ref|NP_415170.4|
NC_000913.3	669296	669907	-	634	nadD	putative alpha-ribazole-5'-P phosphatase	ref|NP_415171.1|
NC_000913.3	669931	670572	-	635	holA	nicotinic acid mononucleotide adenylyltransferase, NAD(P)-dependent	ref|NP_415172.1|
NC_000913.3	670574	671605	-	636	lptE	DNA polymerase III, delta subunit	ref|NP_415173.1|
NC_000913.3	671605	672186	-	637	leuS	LPS assembly OM complex LptDE, lipoprotein component	ref|NP_415174.1|
NC_000913.3	672201	674783	-	638	ybeL	leucyl-tRNA synthetase	ref|NP_415175.1|
NC_000913.3	675018	675500	+	639	ybeQ	DUF1451 family protein	ref|NP_415176.1|
NC_000913.3	675570	676547	-	640	ybeR	Sel1 family TPR-like repeat protein	ref|NP_415177.4|
NC_000913.3	676711	677418	+	641	djlB	uncharacterized protein	ref|NP_415178.1|
NC_000913.3	677415	678842	+	642	ybeT	putative HscC co-chaperone, uncharacterized J domain-containing protein	ref|NP_415179.1|
NC_000913.3	678852	679406	-	643	ybeU	Sel1 family TPR-like repeat protein	ref|NP_415180.1|
NC_000913.3	679508	680215	+	644	djlC	DUF1266 family protein	ref|NP_415181.1|
NC_000913.3	680212	681663	+	645	hscC	J domain-containing HscC co-chaperone; Hsc56	ref|NP_415182.1|
NC_000913.3	681723	683393	-	646	rihA	Hsp70 family chaperone Hsc62; RpoD-binding transcription inhibitor	ref|NP_415183.1|
NC_000913.3	683477	684412	-	647	gltL	ribonucleoside hydrolase 1	ref|NP_415184.1|
NC_000913.3	684530	685255	-	648	gltK	glutamate/aspartate ABC transporter ATPase	ref|NP_415185.1|
NC_000913.3	685255	685929	-	649	gltJ	glutamate/aspartate ABC transporter permease	ref|NP_415186.1|
NC_000913.3	685929	686669	-	650	gltI	glutamate/aspartate ABC transporter permease	ref|NP_415187.1|
NC_000913.3	686839	687747	-	651	insH1	glutamate/aspartate periplasmic binding protein	ref|NP_415188.1|
NC_000913.3	687997	689013	-	652	lnt	IS5 transposase and trans-activator	ref|NP_415189.1|
NC_000913.3	689343	690881	-	653	ybeX	apolipoprotein N-acyltransferase	ref|NP_415190.1|
NC_000913.3	690906	691784	-	654	ybeY	putative ion transport	ref|NP_415191.1|
NC_000913.3	691874	692341	-	655	ybeZ	ssRNA-specific endoribonuclease; 16S rRNA 3' end maturation and quality control co-endoribonuclease working with RNase R; rRNA transcription antitermination factor	ref|NP_415192.1|
NC_000913.3	692338	693378	-	656	miaB	heat shock protein, putative NTPase; PhoH-like protein	ref|NP_415193.2|
NC_000913.3	693531	694955	-	657	ubiF	tRNA-i(6)A37 methylthiotransferase	ref|NP_415194.1|
NC_000913.3	695101	696276	+	658	asnB	tRNA-Met	ref|NP_415195.1|
NC_000913.3	697513	699177	-	659	umpH	asparagine synthetase B	ref|NP_415200.1|
NC_000913.3	699574	700326	-	660	nagC	UMP phosphatase	ref|NP_415201.1|
NC_000913.3	700374	701594	-	661	nagA	N-acetylglucosamine-inducible nag divergent operon transcriptional repressor	ref|NP_415202.1|
NC_000913.3	701603	702751	-	662	nagB	N-acetylglucosamine-6-phosphate deacetylase	ref|NP_415203.1|
NC_000913.3	702811	703611	-	663	nagE	glucosamine-6-phosphate deaminase	ref|NP_415204.1|
NC_000913.3	703944	705890	+	664	glnS	N-acetyl glucosamine specific PTS enzyme IIC, IIB, and IIA components	ref|NP_415205.1|
NC_000913.3	706093	707757	+	665	chiP	glutamyl-tRNA synthetase	ref|NP_415206.1|
NC_000913.3	708334	709740	+	666	chiQ	chitoporin, uptake of chitosugars	ref|NP_415207.1|
NC_000913.3	709790	710116	+	667	fur	chitosugar-induced verified lipoprotein	ref|NP_415208.1|
NC_000913.3	710200	710646	-	668	uof	ferric iron uptake regulon transcriptional repressor; autorepressor	ref|NP_415209.1|
NC_000913.3	710639	710725	-	669	fldA	ryhB-regulated fur leader peptide	ref|YP_001491546.1|
NC_000913.3	710935	711465	-	670	ybfE	flavodoxin 1	ref|NP_415210.1|
NC_000913.3	711605	711898	-	671	ybfF	LexA-regulated protein, CopB family	ref|NP_415211.2|
NC_000913.3	712038	712802	-	672	seqA	acyl-CoA esterase	ref|NP_415212.1|
NC_000913.3	712987	713532	+	673	pgm	negative modulator of initiation of replication	ref|NP_415213.1|
NC_000913.3	713558	715198	+	674	ybfP	phosphoglucomutase	ref|NP_415214.1|
NC_000913.3	715412	715906	+	675	ybfG	lipoprotein	ref|NP_415215.1|
NC_000913.3	715947	716597	-	676	ybfI	NA	NA
NC_000913.3	716721	716870	-	677	potE	NA	NA
NC_000913.3	716946	718265	-	678	speF	putrescine/proton symporter: putrescine/ornithine antiporter	ref|NP_415219.1|
NC_000913.3	718262	720460	-	679	ybfK	ornithine decarboxylase isozyme, inducible	ref|NP_415220.1|
NC_000913.3	720583	720840	+	680	kdpE	uncharacterized protein	ref|YP_001165310.1|
NC_000913.3	721056	721733	-	681	kdpD	response regulator in two-component regulatory system with KdpD	ref|NP_415222.1|
NC_000913.3	721730	724414	-	682	kdpC	fused sensory histidine kinase in two-component regulatory system with KdpE: signal sensing protein	ref|NP_415223.1|
NC_000913.3	724407	724979	-	683	kdpB	potassium translocating ATPase, subunit C	ref|NP_415224.1|
NC_000913.3	724988	727036	-	684	kdpA	potassium translocating ATPase, subunit B	ref|NP_415225.1|
NC_000913.3	727059	728732	-	685	kdpF	potassium translocating ATPase, subunit A	ref|NP_415226.1|
NC_000913.3	728732	728821	-	686	ybfA	potassium ion accessory transporter subunit	ref|YP_588443.1|
NC_000913.3	729134	729340	+	687	rhsC	DUF2517 family protein	ref|NP_415228.1|
NC_000913.3	729583	733776	+	688	ybfB	Rhs protein with putative toxin domain; putative neighboring cell growth inhibitor	ref|NP_415229.1|
NC_000913.3	733776	734102	+	689	rhsO	putative membrane protein	ref|NP_415230.1|
NC_000913.3	734133	735653	+	690	ybfC	NA	NA
NC_000913.3	735650	736219	+	691	ybfQ	putative secreted protein	ref|NP_415232.1|
NC_000913.3	736445	736684	+	692	ybfL	NA	NA
NC_000913.3	736825	737961	+	693	ybfD	NA	NA
NC_000913.3	738092	738853	+	694	ybgA	H repeat-associated putative transposase	ref|NP_415234.1|
NC_000913.3	739001	739510	+	695	phr	DUF1722 family protein	ref|NP_415235.1|
NC_000913.3	739507	740925	+	696	dtpD	deoxyribodipyrimidine photolyase, FAD-binding	ref|NP_415236.1|
NC_000913.3	741075	742556	-	697	ybgI	dipeptide and tripeptide permease D	ref|NP_415237.1|
NC_000913.3	742827	743570	+	698	ybgJ	NIF3 family metal-binding protein	ref|NP_415238.1|
NC_000913.3	743593	744249	+	699	ybgK	putative allophanate hydrolase, subunit 1	ref|NP_415239.1|
NC_000913.3	744243	745175	+	700	ybgL	putative allophanate hydrolase, subunit 2	ref|NP_415240.1|
NC_000913.3	745165	745899	+	701	nei	UPF0271 family protein	ref|NP_415241.1|
NC_000913.3	745935	746726	+	702	abrB	endonuclease VIII and 5-formyluracil/5-hydroxymethyluracil DNA glycosylase	ref|NP_415242.1|
NC_000913.3	746723	747769	-	703	ybgO	regulator of aidB expression; inner membrane protein	ref|NP_415243.4|
NC_000913.3	747921	748982	-	704	ybgP	putative fimbrial protein	ref|NP_415244.4|
NC_000913.3	748979	749707	-	705	ybgQ	putative periplasmic pilin chaperone	ref|NP_415245.1|
NC_000913.3	749722	752169	-	706	ybgD	putative outer membrane protein	ref|NP_415246.2|
NC_000913.3	752229	752795	-	707	gltA	putative fimbrial-like adhesin protein	ref|NP_415247.1|
NC_000913.3	753185	754468	-	708	sdhC	citrate synthase	ref|NP_415248.1|
NC_000913.3	755177	755566	+	709	sdhD	succinate dehydrogenase, membrane subunit, binds cytochrome b556	ref|NP_415249.1|
NC_000913.3	755560	755907	+	710	sdhA	succinate dehydrogenase, membrane subunit, binds cytochrome b556	ref|NP_415250.1|
NC_000913.3	755907	757673	+	711	sdhB	succinate dehydrogenase, flavoprotein subunit	ref|NP_415251.1|
NC_000913.3	757689	758405	+	712	sucA	succinate dehydrogenase, FeS subunit	ref|NP_415252.1|
NC_000913.3	758706	761507	+	713	sucB	2-oxoglutarate decarboxylase, thiamine triphosphate-binding	ref|NP_415254.1|
NC_000913.3	761522	762739	+	714	sucC	dihydrolipoyltranssuccinase	ref|NP_415255.1|
NC_000913.3	763014	764180	+	715	sucD	succinyl-CoA synthetase, beta subunit	ref|NP_415256.1|
NC_000913.3	764180	765049	+	716	mngR	succinyl-CoA synthetase, NAD(P)-binding, alpha subunit	ref|NP_415257.1|
NC_000913.3	765153	765875	-	717	mngA	transcriptional repressor for the mannosyl-D-glycerate catabolic operon	ref|NP_415258.1|
NC_000913.3	765984	767960	+	718	mngB	fused 2-O-a-mannosyl-D-glycerate specific PTS enzymes: IIA component/IIB component/IIC component	ref|NP_415259.1|
NC_000913.3	767978	770611	+	719	cydA	alpha-mannosidase	ref|NP_415260.1|
NC_000913.3	771458	773026	+	720	cydB	cytochrome d terminal oxidase, subunit I	ref|NP_415261.2|
NC_000913.3	773042	774181	+	721	cydX	cytochrome d terminal oxidase, subunit II	ref|NP_415262.1|
NC_000913.3	774196	774309	+	722	ybgE	cytochrome d (bd-I) ubiquinol oxidase subunit X	ref|YP_588444.1|
NC_000913.3	774309	774602	+	723	ybgC	putative inner membrane protein in cydABX-ybgE operon	ref|NP_415263.1|
NC_000913.3	774752	775156	+	724	tolQ	acyl-CoA thioester hydrolase	ref|NP_415264.1|
NC_000913.3	775153	775845	+	725	tolR	membrane spanning protein in TolA-TolQ-TolR complex	ref|NP_415265.1|
NC_000913.3	775849	776277	+	726	tolA	membrane spanning protein in TolA-TolQ-TolR complex	ref|NP_415266.1|
NC_000913.3	776342	777607	+	727	tolB	membrane anchored protein in TolA-TolQ-TolR complex	ref|NP_415267.1|
NC_000913.3	777740	779032	+	728	pal	periplasmic protein	ref|NP_415268.1|
NC_000913.3	779067	779588	+	729	ybgF	peptidoglycan-associated outer membrane lipoprotein	ref|NP_415269.1|
NC_000913.3	779598	780389	+	730	nadA	tRNA-Lys	ref|NP_415270.1|
NC_000913.3	782085	783128	+	731	pnuC	quinolinate synthase, subunit A	ref|NP_415271.1|
NC_000913.3	783166	783885	+	732	zitB	nicotinamide riboside transporter	ref|NP_415272.1|
NC_000913.3	783882	784823	-	733	ybgS	zinc efflux system	ref|NP_415273.1|
NC_000913.3	784937	785317	-	734	aroG	putative periplasmic protein	ref|NP_415274.1|
NC_000913.3	785633	786685	+	735	gpmA	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible	ref|NP_415275.1|
NC_000913.3	786843	787595	-	736	galM	phosphoglyceromutase 1	ref|NP_415276.1|
NC_000913.3	787797	788837	-	737	galK	aldose 1-epimerase; type-1 mutarotase; galactose mutarotase	ref|NP_415277.1|
NC_000913.3	788831	789979	-	738	galT	galactokinase	ref|NP_415278.1|
NC_000913.3	789983	791029	-	739	galE	galactose-1-phosphate uridylyltransferase	ref|NP_415279.1|
NC_000913.3	791039	792055	-	740	modF	UDP-galactose-4-epimerase	ref|NP_415280.3|
NC_000913.3	792316	793788	-	741	modE	molybdate ABC transporter ATPase	ref|NP_415281.1|
NC_000913.3	793856	794644	-	742	acrZ	transcriptional repressor for the molybdenum transport operon modABC	ref|NP_415282.1|
NC_000913.3	794773	794922	+	743	modA	AcrAB-TolC efflux pump accessory protein, membrane-associated	ref|NP_415283.1|
NC_000913.3	795089	795862	+	744	modB	molybdate ABC transporter periplasmic binding protein; chlorate resistance protein	ref|NP_415284.1|
NC_000913.3	795862	796551	+	745	modC	molybdate ABC transporter permease; chlorate resistance protein	ref|NP_415285.1|
NC_000913.3	796554	797612	+	746	ybhA	molybdate ABC transporter ATPase; chlorate resistance protein	ref|NP_415286.1|
NC_000913.3	797613	798431	-	747	pgl	pyridoxal phosphate (PLP) phosphatase	ref|NP_415287.1|
NC_000913.3	798586	799581	+	748	ybhD	6-phosphogluconolactonase	ref|NP_415288.1|
NC_000913.3	799622	800575	-	749	ybhH	putative DNA-binding transcriptional regulator	ref|NP_415289.4|
NC_000913.3	800759	801811	+	750	ybhI	putative PrpF family isomerase	ref|NP_415290.1|
NC_000913.3	801887	803320	+	751	ybhJ	putative DASS family tricarboxylate or dicarboxylate transporter	ref|NP_415291.1|
NC_000913.3	803503	805764	+	752	ybhC	aconitase family protein	ref|NP_415292.2|
NC_000913.3	805998	807281	-	753	ybhB	acyl-CoA thioesterase, lipoprotein	ref|NP_415293.1|
NC_000913.3	807433	807909	-	754	bioA	kinase inhibitor homolog, UPF0098 family	ref|NP_415294.1|
NC_000913.3	807968	809257	-	755	bioB	7,8-diaminopelargonic acid synthase, PLP-dependent	ref|NP_415295.1|
NC_000913.3	809344	810384	+	756	bioF	biotin synthase	ref|NP_415296.1|
NC_000913.3	810381	811535	+	757	bioC	8-amino-7-oxononanoate synthase	ref|NP_415297.1|
NC_000913.3	811522	812277	+	758	bioD	malonyl-ACP O-methyltransferase, SAM-dependent	ref|NP_415298.1|
NC_000913.3	812270	812947	+	759	uvrB	dethiobiotin synthetase	ref|NP_415299.1|
NC_000913.3	813526	815547	+	760	ybhK	exision nuclease of nucleotide excision repair, DNA damage recognition component	ref|NP_415300.1|
NC_000913.3	815739	816647	-	761	moaA	putative CofD superfamily transferase	ref|NP_415301.1|
NC_000913.3	817044	818033	+	762	moaB	molybdopterin biosynthesis protein A	ref|NP_415302.1|
NC_000913.3	818055	818567	+	763	moaC	inactive molybdopterin adenylyltransferase	ref|NP_415303.1|
NC_000913.3	818570	819055	+	764	moaD	molybdopterin biosynthesis, protein C	ref|NP_415304.1|
NC_000913.3	819048	819293	+	765	moaE	molybdopterin synthase, small subunit	ref|NP_415305.1|
NC_000913.3	819295	819747	+	766	ybhL	molybdopterin synthase, large subunit	ref|NP_415306.1|
NC_000913.3	819884	820588	+	767	ybhM	putative acetate transporter; BAX Inhibitor-1 family inner membrane protein	ref|NP_415307.1|
NC_000913.3	820793	821506	+	768	ybhN	BAX Inhibitor-1 family inner membrane protein	ref|NP_415308.1|
NC_000913.3	821542	822498	-	769	clsB	UPF0104 family inner membrane protein	ref|NP_415309.1|
NC_000913.3	822498	823739	-	770	ybhP	cardiolipin synthase 2	ref|NP_415310.1|
NC_000913.3	823736	824497	-	771	ybhQ	endo/exonuclease/phosphatase family protein	ref|NP_415311.1|
NC_000913.3	824630	825040	+	772	ybhR	inner membrane protein	ref|NP_415312.1|
NC_000913.3	825002	826108	-	773	ybhS	putative ABC transporter permease	ref|NP_415313.1|
NC_000913.3	826119	827252	-	774	ybhF	putative ABC transporter permease	ref|NP_415314.1|
NC_000913.3	827245	828981	-	775	ybhG	putative ABC transporter ATPase	ref|NP_415315.4|
NC_000913.3	828974	829972	-	776	ybiH	putative membrane fusion protein (MFP) component of efflux pump, membrane anchor	ref|NP_415316.1|
NC_000913.3	829972	830643	-	777	rhlE	DUF1956 domain-containing tetR family putative transcriptional regulator	ref|NP_415317.4|
NC_000913.3	830872	832236	+	778	ybiA	ATP-dependent RNA helicase	ref|NP_415318.1|
NC_000913.3	832468	832950	-	779	dinG	DUF1768 family protein	ref|NP_415319.1|
NC_000913.3	833070	835220	+	780	ybiB	ATP-dependent DNA helicase	ref|NP_415320.1|
NC_000913.3	835248	836210	+	781	ybiC	putative family 3 glycosyltransferase	ref|NP_415321.1|
NC_000913.3	836351	837436	+	782	ybiJ	putative dehydrogenase	ref|NP_415322.1|
NC_000913.3	837665	837925	-	783	ybiI	DUF1471 family putative periplasmic protein	ref|NP_415323.1|
NC_000913.3	838190	838456	-	784	ybiX	DksA-type zinc finger protein	ref|NP_415324.1|
NC_000913.3	838530	839207	-	785	fiu	Fe(II)-dependent oxygenase superfamily protein	ref|NP_415325.4|
NC_000913.3	839249	841531	-	786	mcbA	catecholate siderophore receptor	ref|NP_415326.1|
NC_000913.3	841796	842056	-	787	rlmF	colanic acid mucoidy stimulation protein	ref|NP_415327.2|
NC_000913.3	842332	843258	+	788	ybiO	23S rRNA m(6)A1618 methyltransferase, SAM-dependent	ref|NP_415328.4|
NC_000913.3	843255	845480	-	789	glnQ	mechanosensitive channel protein, intermediate conductance	ref|NP_415329.4|
NC_000913.3	845741	846463	-	790	glnP	glutamine transporter subunit	ref|NP_415330.1|
NC_000913.3	846460	847119	-	791	glnH	glutamine transporter subunit	ref|NP_415331.1|
NC_000913.3	847258	848004	-	792	dps	glutamine transporter subunit	ref|NP_415332.1|
NC_000913.3	848408	848911	-	793	rhtA	Fe-binding and storage protein; stress-inducible DNA-binding protein	ref|NP_415333.1|
NC_000913.3	849210	850097	-	794	ompX	threonine and homoserine efflux system	ref|NP_415334.1|
NC_000913.3	850450	850965	+	795	opgE	outer membrane protein X	ref|NP_415335.1|
NC_000913.3	851014	852597	-	796	mntS	OPG biosynthetic transmembrane phosphoethanolamine transferase	ref|NP_415336.1|
NC_000913.3	852869	852997	-	797	mntR	Mn(2)-response protein, MntR-repressed	ref|YP_009029995.1|
NC_000913.3	853183	853650	+	798	ybiR	Mn(2+)-responsive manganese regulon transcriptional regulator	ref|NP_415338.1|
NC_000913.3	853647	854765	+	799	ldtB	putative transporter	ref|NP_415339.1|
NC_000913.3	854824	855744	-	800	ybiT	L,D-transpeptidase linking Lpp to murein	ref|NP_415340.1|
NC_000913.3	855963	857555	+	801	ybiU	ABC-F family putative regulatory ATPase	ref|NP_415341.1|
NC_000913.3	857796	859061	-	802	ybiV	DUF1479 family protein	ref|NP_415342.1|
NC_000913.3	859213	860028	-	803	ybiW	sugar phosphatase; fructose-1-P/ribose-5-P/glucose-6-P phosphatase	ref|NP_415343.1|
NC_000913.3	860174	862606	-	804	ybiY	putative pyruvate formate lyase	ref|NP_415344.1|
NC_000913.3	862612	863511	-	805	fsaA	putative pyruvate formate lyase activating enzyme	ref|NP_415345.2|
NC_000913.3	863642	864304	+	806	moeB	fructose-6-phosphate aldolase 1	ref|NP_415346.4|
NC_000913.3	864380	865129	-	807	moeA	molybdopterin synthase sulfurylase	ref|NP_415347.1|
NC_000913.3	865129	866364	-	808	iaaA	molybdopterin molybdenumtransferase; molybdopterin biosynthesis protein	ref|NP_415348.1|
NC_000913.3	866568	867533	+	809	gsiA	Isoaspartyl peptidase	ref|NP_415349.1|
NC_000913.3	867520	869391	+	810	gsiB	glutathione ABC transporter ATPase	ref|NP_415350.2|
NC_000913.3	869411	870949	+	811	gsiC	glutathione ABC transporter periplasmic binding protein	ref|NP_415351.1|
NC_000913.3	870967	871887	+	812	gsiD	glutathione ABC transporter permease	ref|NP_415352.1|
NC_000913.3	871890	872801	+	813	yliE	glutathione ABC transporter permease	ref|NP_415353.1|
NC_000913.3	872979	875327	+	814	yliF	putative membrane-anchored cyclic-di-GMP phosphodiesterase	ref|NP_415354.1|
NC_000913.3	875335	876663	+	815	rimO	putative membrane-anchored diguanylate cyclase	ref|NP_415355.1|
NC_000913.3	876710	878035	-	816	bssR	ribosomal protein S12 methylthiotransferase	ref|NP_415356.1|
NC_000913.3	878248	878631	+	817	yliI	repressor of biofilm formation by indole transport regulation	ref|NP_415357.1|
NC_000913.3	878742	879857	+	818	gstB	soluble aldose sugar dehydrogenase	ref|NP_415358.1|
NC_000913.3	879854	880480	-	819	dacC	glutathione S-transferase	ref|NP_415359.4|
NC_000913.3	880727	881929	+	820	deoR	D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein 6a	ref|NP_415360.1|
NC_000913.3	881976	882734	-	821	ybjG	deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx	ref|NP_415361.1|
NC_000913.3	882792	883388	-	822	mdfA	undecaprenyl pyrophosphate phosphatase	ref|NP_415362.1|
NC_000913.3	883673	884905	+	823	ybjH	multidrug efflux system protein	ref|NP_415363.1|
NC_000913.3	884946	885230	-	824	ybjI	uncharacterized protein	ref|NP_415364.1|
NC_000913.3	885316	886131	-	825	ybjJ	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase; pyrimidine phosphatase; riboflavin synthesis	ref|NP_415365.4|
NC_000913.3	886131	887339	-	826	rcdA	putative drug efflux MFS transporter, inner membrane protein	ref|NP_415366.1|
NC_000913.3	887423	887959	+	827	ybjL	sRNA antisense regulator of ompC and ompW mRNA instability, Hfq-dependent	ref|NP_415367.1|
NC_000913.3	888134	889819	-	828	ybjM	putative transporter	ref|NP_415368.1|
NC_000913.3	890089	890466	+	829	grxA	inner membrane protein	ref|NP_415369.1|
NC_000913.3	890496	890753	-	830	ybjC	glutaredoxin 1, redox coenzyme for ribonucleotide reductase (RNR1a)	ref|NP_415370.1|
NC_000913.3	890913	891200	+	831	nfsA	DUF1418 family protein	ref|NP_415371.1|
NC_000913.3	891184	891906	+	832	rimK	nitroreductase A, NADPH-dependent, FMN-dependent	ref|NP_415372.1|
NC_000913.3	891967	892869	+	833	ybjN	ribosomal protein S6 modification protein	ref|NP_415373.1|
NC_000913.3	892957	893433	+	834	potF	negative regulator of motility; multicopy suppressor of coaA(Ts)	ref|NP_415374.1|
NC_000913.3	893784	894896	+	835	potG	putrescine ABC transporter periplasmic binding protein	ref|NP_415375.1|
NC_000913.3	894991	896124	+	836	potH	putrescine ABC transporter ATPase	ref|NP_415376.4|
NC_000913.3	896134	897087	+	837	potI	putrescine ABC transporter permease	ref|NP_415377.1|
NC_000913.3	897084	897929	+	838	ybjO	putrescine ABC transporter permease	ref|NP_415378.1|
NC_000913.3	897989	898477	+	839	rlmC	DUF2593 family inner membrane protein	ref|NP_415379.1|
NC_000913.3	898518	899645	+	840	artJ	23S rRNA m(5)U747 methyltransferase, SAM-dependent	ref|NP_415380.1|
NC_000913.3	899844	900575	-	841	artM	arginine ABC transporter periplasmic binding protein	ref|NP_415381.1|
NC_000913.3	900866	901534	-	842	artQ	arginine ABC transporter permease	ref|NP_415382.1|
NC_000913.3	901534	902250	-	843	artI	arginine ABC transporter permease	ref|NP_415383.1|
NC_000913.3	902257	902988	-	844	artP	arginine transporter subunit	ref|NP_415384.1|
NC_000913.3	903006	903734	-	845	ybjP	arginine ABC transporter ATPase	ref|NP_415385.1|
NC_000913.3	903952	904467	-	846	ybjQ	lipoprotein	ref|NP_415386.1|
NC_000913.3	904593	904916	+	847	amiD	UPF0145 family protein	ref|NP_415387.1|
NC_000913.3	904913	905743	+	848	ybjS	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein	ref|NP_415388.1|
NC_000913.3	905740	906753	-	849	ybjT	putative NAD(P)H-dependent oxidoreductase	ref|NP_415389.2|
NC_000913.3	906852	908282	-	850	ltaE	putative NAD-dependent oxidoreductase	ref|NP_415390.4|
NC_000913.3	908293	909294	-	851	poxB	L-allo-threonine aldolase, PLP-dependent	ref|NP_415391.1|
NC_000913.3	909331	911049	-	852	hcr	pyruvate dehydrogenase, thiamine triphosphate-binding, FAD-binding	ref|NP_415392.1|
NC_000913.3	911182	912150	-	853	hcp	HCP oxidoreductase, NADH-dependent	ref|NP_415393.1|
NC_000913.3	912162	913814	-	854	ybjE	hybrid-cluster [4Fe-2S-2O] subunit of anaerobic terminal reductases	ref|NP_415394.4|
NC_000913.3	913958	914857	-	855	aqpZ	putative transporter	ref|NP_415395.2|
NC_000913.3	915352	916047	-	856	ybjD	aquaporin Z	ref|NP_415396.1|
NC_000913.3	916473	918131	+	857	ybjX	putative OLD family ATP-dependent endonuclease; DUF2813 family protein	ref|NP_415397.1|
NC_000913.3	918128	919120	-	858	macA	DUF535 family protein	ref|NP_415398.1|
NC_000913.3	919235	920350	+	859	macB	macrolide transporter membrane fusion protein (MFP) component	ref|NP_415399.4|
NC_000913.3	920347	922293	+	860	cspD	macrolide ABC transporter peremase/ATPase	ref|NP_415400.1|
NC_000913.3	922366	922590	-	861	clpS	inhibitor of DNA replication, cold shock protein homolog	ref|NP_415401.1|
NC_000913.3	922913	923233	+	862	clpA	regulatory protein for ClpA substrate specificity	ref|NP_415402.1|
NC_000913.3	923264	925540	+	863	infA	tRNA-Ser	ref|NP_415403.1|
NC_000913.3	926225	926443	-	864	aat	translation initiation factor IF-1	ref|NP_415404.1|
NC_000913.3	926728	927432	-	865	cydC	leucyl/phenylalanyl-tRNA-protein transferase	ref|NP_415405.1|
NC_000913.3	927474	929195	-	866	cydD	glutathione/cysteine ABC transporter export permease/ATPase	ref|NP_415406.1|
NC_000913.3	929196	930962	-	867	trxB	glutathione/cysteine ABC transporter export permease/ATPase	ref|NP_415407.1|
NC_000913.3	931085	932050	-	868	lrp	thioredoxin reductase, FAD/NAD(P)-binding	ref|NP_415408.1|
NC_000913.3	932595	933089	+	869	ftsK	leucine-responsive global transcriptional regulator	ref|NP_415409.1|
NC_000913.3	933224	937213	+	870	lolA	DNA translocase at septal ring sorting daughter chromsomes	ref|NP_415410.1|
NC_000913.3	937372	937983	+	871	rarA	lipoprotein chaperone	ref|NP_415411.2|
NC_000913.3	937994	939337	+	872	serS	recombination intermediate processing DNA-dependent ATPase	ref|NP_415412.1|
NC_000913.3	939428	940720	+	873	dmsA	seryl-tRNA synthetase	ref|NP_415413.1|
NC_000913.3	940959	943403	+	874	dmsB	dimethyl sulfoxide reductase, anaerobic, subunit A	ref|NP_415414.4|
NC_000913.3	943414	944031	+	875	dmsC	dimethyl sulfoxide reductase, anaerobic, subunit B	ref|NP_415415.1|
NC_000913.3	944033	944896	+	876	ycaC	dimethyl sulfoxide reductase, anaerobic, subunit C	ref|NP_415416.1|
NC_000913.3	944931	945557	-	877	ycaD	putative isochorismatase family hydrolase	ref|NP_415417.1|
NC_000913.3	945871	947019	+	878	ycaM	putative MFS transporter, inner membrane protein	ref|NP_415418.1|
NC_000913.3	947229	948659	+	879	ycaN	putative transporter	ref|NP_415419.2|
NC_000913.3	948660	949568	-	880	ycaK	LysR family putative transcriptional regulator	ref|NP_415420.1|
NC_000913.3	949668	950258	+	881	pflA	putative NAD(P)H-dependent oxidoreductase	ref|NP_415421.1|
NC_000913.3	950340	951080	-	882	pflB	pyruvate formate-lyase 1-activating enzyme; [formate-C-acetyltransferase 1]-activating enzyme; PFL activase	ref|NP_415422.1|
NC_000913.3	951272	953554	-	883	focA	formate C-acetyltransferase 1, anaerobic; pyruvate formate-lyase 1	ref|NP_415423.1|
NC_000913.3	953609	954466	-	884	ycaO	formate channel	ref|NP_415424.1|
